,Gene,ACC,Recall,Precision,Sp,Sn,f1_Score,AUC,Parameter
0,['IL18'],73.16%,53.51%,66.30%,84.42%,53.51%,59.20%,77.17%,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 300}"
1,"['IL18', 'FER1L3']",77.32%,61.40%,72.16%,86.43%,61.40%,66.40%,81.49%,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 200}"
2,"['IL18', 'FER1L3', 'AL157484']",78.27%,66.67%,71.70%,84.92%,66.67%,69.10%,84.06%,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 100}"
3,"['IL18', 'FER1L3', 'AL157484', 'VPS13C']",77.96%,67.54%,70.64%,83.92%,67.54%,69.10%,84.42%,"{'algorithm': 'SAMME.R', 'learning_rate': 0.01, 'n_estimators': 1000}"
4,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591']",80.51%,71.93%,73.87%,85.43%,71.93%,72.90%,85.94%,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 200}"
5,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB']",81.79%,71.93%,76.64%,87.44%,71.93%,74.20%,86.82%,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 200}"
6,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1']",83.71%,75.44%,78.90%,88.44%,75.44%,77.10%,87.87%,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 200}"
7,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1']",82.11%,71.93%,77.36%,87.94%,71.93%,74.50%,88.24%,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 300}"
8,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR']",82.11%,73.68%,76.36%,86.93%,73.68%,75.00%,89.05%,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 500}"
9,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3']",83.71%,77.19%,77.88%,87.44%,77.19%,77.50%,90.30%,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 300}"
10,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1']",83.71%,75.44%,78.90%,88.44%,75.44%,77.10%,90.12%,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 400}"
11,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3']",82.11%,72.81%,76.85%,87.44%,72.81%,74.80%,89.32%,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 1000}"
12,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1']",84.66%,79.82%,78.45%,87.44%,79.82%,79.10%,90.24%,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 500}"
13,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1', 'OLIG2']",83.39%,74.56%,78.70%,88.44%,74.56%,76.60%,89.80%,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 200}"
14,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1', 'OLIG2', 'STAU2']",85.30%,78.95%,80.36%,88.94%,78.95%,79.60%,90.58%,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 400}"
15,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1', 'OLIG2', 'STAU2', 'MGC24103']",82.43%,75.44%,76.11%,86.43%,75.44%,75.80%,89.91%,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 200}"
