,Gene,ACC,Recall,Precision,Sp,Sn,f1_Score,AUC,Parameter
0,['IL18'],65.18%,34.23%,51.35%,82.18%,34.23%,41.10%,65.59%,"{'criterion': 'gini', 'max_features': 'auto', 'splitter': 'best'}"
1,"['IL18', 'FER1L3']",63.90%,53.15%,49.17%,69.80%,53.15%,51.10%,61.48%,"{'criterion': 'gini', 'max_features': 'auto', 'splitter': 'best'}"
2,"['IL18', 'FER1L3', 'AL157484']",70.61%,58.56%,58.56%,77.23%,58.56%,58.60%,67.89%,"{'criterion': 'entropy', 'max_features': 'auto', 'splitter': 'best'}"
3,"['IL18', 'FER1L3', 'AL157484', 'VPS13C']",71.57%,65.77%,58.87%,74.75%,65.77%,62.10%,70.26%,"{'criterion': 'gini', 'max_features': 'auto', 'splitter': 'random'}"
4,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591']",73.48%,72.97%,60.45%,73.76%,72.97%,66.10%,73.37%,"{'criterion': 'entropy', 'max_features': 'auto', 'splitter': 'best'}"
5,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB']",69.97%,58.56%,57.52%,76.24%,58.56%,58.00%,67.40%,"{'criterion': 'entropy', 'max_features': 'auto', 'splitter': 'random'}"
6,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1']",78.27%,68.47%,69.72%,83.66%,68.47%,69.10%,76.07%,"{'criterion': 'entropy', 'max_features': 'auto', 'splitter': 'best'}"
7,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1']",72.20%,62.16%,60.53%,77.72%,62.16%,61.30%,69.94%,"{'criterion': 'entropy', 'max_features': 'auto', 'splitter': 'best'}"
8,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR']",80.83%,76.58%,71.43%,83.17%,76.58%,73.90%,79.87%,"{'criterion': 'gini', 'max_features': 'auto', 'splitter': 'best'}"
9,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3']",77.64%,64.86%,69.90%,84.65%,64.86%,67.30%,74.76%,"{'criterion': 'gini', 'max_features': 'auto', 'splitter': 'best'}"
10,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1']",76.36%,59.46%,69.47%,85.64%,59.46%,64.10%,72.55%,"{'criterion': 'entropy', 'max_features': 'auto', 'splitter': 'random'}"
11,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3']",73.80%,63.96%,62.83%,79.21%,63.96%,63.40%,71.59%,"{'criterion': 'entropy', 'max_features': 'auto', 'splitter': 'best'}"
12,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1']",74.12%,63.06%,63.64%,80.20%,63.06%,63.30%,71.63%,"{'criterion': 'gini', 'max_features': 'auto', 'splitter': 'best'}"
13,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1', 'OLIG2']",75.08%,65.77%,64.60%,80.20%,65.77%,65.20%,72.98%,"{'criterion': 'entropy', 'max_features': 'auto', 'splitter': 'best'}"
14,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1', 'OLIG2', 'STAU2']",75.72%,66.67%,65.49%,80.69%,66.67%,66.10%,73.68%,"{'criterion': 'entropy', 'max_features': 'auto', 'splitter': 'best'}"
