,Gene,ACC,Recall,Precision,Sp,Sn,f1_Score,AUC,Parameter
0,['IL18'],72.20%,42.11%,69.57%,89.45%,42.11%,52.50%,74.41%,"{'n_neighbors': 16, 'p': 2, 'weights': 'uniform'}"
1,"['IL18', 'FER1L3']",72.84%,55.26%,64.95%,82.91%,55.26%,59.70%,81.04%,"{'n_neighbors': 20, 'p': 2, 'weights': 'uniform'}"
2,"['IL18', 'FER1L3', 'AL157484']",77.00%,57.89%,73.33%,87.94%,57.89%,64.70%,82.91%,"{'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}"
3,"['IL18', 'FER1L3', 'AL157484', 'VPS13C']",80.19%,64.04%,77.66%,89.45%,64.04%,70.20%,85.52%,"{'n_neighbors': 18, 'p': 2, 'weights': 'uniform'}"
4,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591']",80.51%,64.91%,77.89%,89.45%,64.91%,70.80%,85.36%,"{'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}"
5,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB']",84.35%,75.44%,80.37%,89.45%,75.44%,77.80%,87.83%,"{'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}"
6,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1']",84.35%,73.68%,81.55%,90.45%,73.68%,77.40%,89.33%,"{'n_neighbors': 16, 'p': 2, 'weights': 'uniform'}"
7,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1']",84.66%,77.19%,80.00%,88.94%,77.19%,78.60%,90.26%,"{'n_neighbors': 13, 'p': 2, 'weights': 'uniform'}"
8,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR']",86.26%,77.19%,83.81%,91.46%,77.19%,80.40%,91.20%,"{'n_neighbors': 20, 'p': 2, 'weights': 'distance'}"
9,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3']",85.94%,74.56%,85.00%,92.46%,74.56%,79.40%,90.78%,"{'n_neighbors': 19, 'p': 2, 'weights': 'distance'}"
