,Gene,ACC,Recall,Precision,Sp,Sn,f1_Score,AUC,Parameter
0,['IL18'],73.48%,51.75%,67.82%,85.93%,51.75%,58.70%,77.92%,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': None}"
1,"['IL18', 'FER1L3']",78.27%,61.40%,74.47%,87.94%,61.40%,67.30%,84.07%,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': None}"
2,"['IL18', 'FER1L3', 'AL157484']",78.27%,57.89%,76.74%,89.95%,57.89%,66.00%,84.37%,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': None}"
3,"['IL18', 'FER1L3', 'AL157484', 'VPS13C']",77.64%,63.16%,72.00%,85.93%,63.16%,67.30%,84.69%,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': None}"
4,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591']",80.83%,68.42%,76.47%,87.94%,68.42%,72.20%,87.99%,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': None}"
5,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB']",83.39%,70.18%,81.63%,90.95%,70.18%,75.50%,89.04%,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': None}"
6,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1']",83.71%,73.68%,80.00%,89.45%,73.68%,76.70%,89.37%,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': None}"
7,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1']",82.75%,69.30%,80.61%,90.45%,69.30%,74.50%,91.47%,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': None}"
8,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR']",86.26%,76.32%,84.47%,91.96%,76.32%,80.20%,91.39%,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': None}"
9,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3']",84.66%,67.54%,87.50%,94.47%,67.54%,76.20%,91.34%,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': None}"
10,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1']",85.30%,74.56%,83.33%,91.46%,74.56%,78.70%,90.68%,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': None}"
11,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3']",85.30%,75.44%,82.69%,90.95%,75.44%,78.90%,90.88%,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': None}"
12,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1']",86.26%,76.32%,84.47%,91.96%,76.32%,80.20%,91.12%,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': None}"
