,Gene,ACC,Recall,Precision,Sp,Sn,f1_Score,AUC,Parameter
0,['IL18'],72.84%,44.74%,69.86%,88.94%,44.74%,54.50%,75.65%,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.7}"
1,"['IL18', 'FER1L3']",75.40%,52.63%,72.29%,88.44%,52.63%,60.90%,81.96%,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.5}"
2,"['IL18', 'FER1L3', 'AL157484']",78.59%,64.04%,73.74%,86.93%,64.04%,68.50%,84.81%,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.5}"
3,"['IL18', 'FER1L3', 'AL157484', 'VPS13C']",78.91%,68.42%,72.22%,84.92%,68.42%,70.30%,84.59%,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.5}"
4,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591']",82.11%,71.05%,77.88%,88.44%,71.05%,74.30%,86.58%,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.5}"
5,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB']",83.39%,69.30%,82.29%,91.46%,69.30%,75.20%,87.63%,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.7}"
6,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1']",82.43%,72.81%,77.57%,87.94%,72.81%,75.10%,87.33%,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 1000, 'subsample': 0.5}"
7,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1']",82.75%,71.93%,78.85%,88.94%,71.93%,75.20%,87.01%,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}"
8,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR']",83.07%,71.93%,79.61%,89.45%,71.93%,75.60%,88.79%,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.7}"
9,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3']",82.43%,69.30%,79.80%,89.95%,69.30%,74.20%,88.85%,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500, 'subsample': 0.5}"
10,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1']",80.83%,71.05%,75.00%,86.43%,71.05%,73.00%,87.79%,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.5}"
11,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3']",80.83%,71.05%,75.00%,86.43%,71.05%,73.00%,89.14%,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.5}"
12,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1']",83.07%,74.56%,77.98%,87.94%,74.56%,76.20%,88.50%,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.7}"
13,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1', 'OLIG2']",83.07%,73.68%,78.50%,88.44%,73.68%,76.00%,88.45%,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500, 'subsample': 0.7}"
14,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1', 'OLIG2', 'STAU2']",83.07%,74.56%,77.98%,87.94%,74.56%,76.20%,88.22%,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 1000, 'subsample': 0.7}"
15,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1', 'OLIG2', 'STAU2', 'MGC24103']",81.79%,71.93%,76.64%,87.44%,71.93%,74.20%,88.09%,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500, 'subsample': 0.5}"
16,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1', 'OLIG2', 'STAU2', 'MGC24103', 'RNF165']",82.43%,71.93%,78.10%,88.44%,71.93%,74.90%,89.75%,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}"
